img,doctor,experience,top_model
Patient01610_Plane3_1_of_9.png,Doc_B,senior,M4
Patient01610_Plane3_1_of_9.png,Doc_B,senior,M5
Patient01407_Plane3_1_of_2.png,Doc_B,senior,M1
Patient01407_Plane3_1_of_2.png,Doc_B,senior,M2
Patient01407_Plane3_1_of_2.png,Doc_B,senior,M3
Patient01407_Plane3_1_of_2.png,Doc_B,senior,M4
Patient01407_Plane3_1_of_2.png,Doc_B,senior,M5
Patient01442_Plane3_2_of_3.png,Doc_B,senior,M1
Patient01442_Plane3_2_of_3.png,Doc_B,senior,M2
Patient01442_Plane3_2_of_3.png,Doc_B,senior,M3
Patient01442_Plane3_2_of_3.png,Doc_B,senior,M4
Patient01442_Plane3_2_of_3.png,Doc_B,senior,M5
Patient01413_Plane3_2_of_4.png,Doc_B,senior,M2
Patient01413_Plane3_2_of_4.png,Doc_B,senior,M3
Patient01413_Plane3_2_of_4.png,Doc_B,senior,M4
Patient01413_Plane3_2_of_4.png,Doc_B,senior,M5
Patient01446_Plane3_3_of_3.png,Doc_B,senior,M3
Patient01446_Plane3_3_of_3.png,Doc_B,senior,M4
Patient01446_Plane3_3_of_3.png,Doc_B,senior,M5
Patient01470_Plane3_1_of_2.png,Doc_B,senior,M4
Patient01470_Plane3_1_of_2.png,Doc_B,senior,M5
Patient01063_Plane3_2_of_4.png,Doc_B,senior,M2
Patient01063_Plane3_2_of_4.png,Doc_B,senior,M3
Patient01063_Plane3_2_of_4.png,Doc_B,senior,M4
Patient01063_Plane3_2_of_4.png,Doc_B,senior,M5
Patient00794_Plane3_3_of_3.png,Doc_B,senior,M3
Patient00794_Plane3_3_of_3.png,Doc_B,senior,M4
Patient00794_Plane3_3_of_3.png,Doc_B,senior,M5
Patient01068_Plane3_3_of_5.png,Doc_B,senior,M2
Patient01068_Plane3_3_of_5.png,Doc_B,senior,M3
Patient01068_Plane3_3_of_5.png,Doc_B,senior,M4
Patient01068_Plane3_3_of_5.png,Doc_B,senior,M5
Patient01032_Plane3_3_of_3.png,Doc_B,senior,M5
Patient00716_Plane3_6_of_6.png,Doc_B,senior,M5
Patient00168_Plane3_3_of_3.png,Doc_B,senior,M3
Patient00168_Plane3_3_of_3.png,Doc_B,senior,M4
Patient00168_Plane3_3_of_3.png,Doc_B,senior,M5
Patient00912_Plane3_3_of_5.png,Doc_B,senior,M3
Patient00912_Plane3_3_of_5.png,Doc_B,senior,M4
Patient00912_Plane3_3_of_5.png,Doc_B,senior,M5
Patient01102_Plane3_2_of_2.png,Doc_B,senior,M3
Patient01102_Plane3_2_of_2.png,Doc_B,senior,M4
Patient01102_Plane3_2_of_2.png,Doc_B,senior,M5
Patient01704_Plane3_2_of_2.png,Doc_B,senior,M2
Patient01704_Plane3_2_of_2.png,Doc_B,senior,M3
Patient01704_Plane3_2_of_2.png,Doc_B,senior,M5
Patient00759_Plane3_1_of_4.png,Doc_B,senior,M2
Patient00759_Plane3_1_of_4.png,Doc_B,senior,M3
Patient00790_Plane3_2_of_5.png,Doc_B,senior,M4
Patient00790_Plane3_2_of_5.png,Doc_B,senior,M5
Patient01751_Plane3_2_of_2.png,Doc_B,senior,M5
Patient01124_Plane3_2_of_4.png,Doc_B,senior,M2
Patient01124_Plane3_2_of_4.png,Doc_B,senior,M3
Patient01124_Plane3_2_of_4.png,Doc_B,senior,M4
Patient01124_Plane3_2_of_4.png,Doc_B,senior,M5
Patient01374_Plane3_2_of_2.png,Doc_B,senior,M4
Patient01374_Plane3_2_of_2.png,Doc_B,senior,M5
Patient00752_Plane3_1_of_3.png,Doc_B,senior,M2
Patient00752_Plane3_1_of_3.png,Doc_B,senior,M3
Patient00752_Plane3_1_of_3.png,Doc_B,senior,M4
Patient00752_Plane3_1_of_3.png,Doc_B,senior,M5
Patient00721_Plane3_3_of_3.png,Doc_B,senior,M3
Patient00721_Plane3_3_of_3.png,Doc_B,senior,M4
Patient00721_Plane3_3_of_3.png,Doc_B,senior,M5
Patient01126_Plane3_5_of_5.png,Doc_B,senior,M2
Patient01126_Plane3_5_of_5.png,Doc_B,senior,M3
Patient01126_Plane3_5_of_5.png,Doc_B,senior,M4
Patient01126_Plane3_5_of_5.png,Doc_B,senior,M5
Patient01124_Plane3_2_of_4.png,Doc_C,junior,M2
Patient01124_Plane3_2_of_4.png,Doc_C,junior,M3
Patient01124_Plane3_2_of_4.png,Doc_C,junior,M4
Patient01124_Plane3_2_of_4.png,Doc_C,junior,M5
Patient01407_Plane3_1_of_2.png,Doc_C,junior,M1
Patient01407_Plane3_1_of_2.png,Doc_C,junior,M2
Patient01407_Plane3_1_of_2.png,Doc_C,junior,M3
Patient01407_Plane3_1_of_2.png,Doc_C,junior,M4
Patient01407_Plane3_1_of_2.png,Doc_C,junior,M5
Patient01470_Plane3_1_of_2.png,Doc_C,junior,M2
Patient01470_Plane3_1_of_2.png,Doc_C,junior,M3
Patient01470_Plane3_1_of_2.png,Doc_C,junior,M4
Patient01470_Plane3_1_of_2.png,Doc_C,junior,M5
Patient00168_Plane3_3_of_3.png,Doc_C,junior,M2
Patient00168_Plane3_3_of_3.png,Doc_C,junior,M3
Patient00168_Plane3_3_of_3.png,Doc_C,junior,M4
Patient00168_Plane3_3_of_3.png,Doc_C,junior,M5
Patient01776_Plane3_3_of_5.png,Doc_C,junior,M2
Patient01776_Plane3_3_of_5.png,Doc_C,junior,M3
Patient01776_Plane3_3_of_5.png,Doc_C,junior,M4
Patient01776_Plane3_3_of_5.png,Doc_C,junior,M5
Patient01374_Plane3_2_of_2.png,Doc_C,junior,M3
Patient01374_Plane3_2_of_2.png,Doc_C,junior,M4
Patient01374_Plane3_2_of_2.png,Doc_C,junior,M5
Patient01442_Plane3_2_of_3.png,Doc_C,junior,M1
Patient01442_Plane3_2_of_3.png,Doc_C,junior,M2
Patient01442_Plane3_2_of_3.png,Doc_C,junior,M3
Patient01442_Plane3_2_of_3.png,Doc_C,junior,M4
Patient01442_Plane3_2_of_3.png,Doc_C,junior,M5
Patient00829_Plane3_4_of_5.png,Doc_C,junior,M2
Patient00829_Plane3_4_of_5.png,Doc_C,junior,M3
Patient00829_Plane3_4_of_5.png,Doc_C,junior,M4
Patient00829_Plane3_4_of_5.png,Doc_C,junior,M5
Patient01751_Plane3_2_of_2.png,Doc_C,junior,M3
Patient01751_Plane3_2_of_2.png,Doc_C,junior,M5
Patient01068_Plane3_3_of_5.png,Doc_C,junior,M4
Patient01680_Plane3_2_of_8.png,Doc_C,junior,M2
Patient01680_Plane3_2_of_8.png,Doc_C,junior,M3
Patient01680_Plane3_2_of_8.png,Doc_C,junior,M4
